Indicator,Next
-2833979.15784899,17
-2056079.2067569,-141
-984650.116233627,66
-2509604.24099311,47
279030.583126323,91
4427021.90465614,-78
-4338930.85119809,-15
387511.023127695,4
-2774591.53552632,170
8748461.9667206,-149
-1488971.95131814,206
2616261.96901487,-30
-5756692.96818841,49
8870818.26338253,111
12526041.0657494,-49
1771910.42240914,-93
-10296644.7553332,6
-14775497.9281582,13
-916412.950939452,12
3939049.4183988,-5
-558935.669746431,-56
-2589194.73510473,-65
-3138177.50155121,-93
-3144705.74003058,4
515661.057723962,-63
-378328.78295762,-57
1394828.42999173,24
-762456.643532406,254
8608908.12902493,-59
2667775.01386308,-134
1077978.07049764,119
-2753570.87348162,31
-325228.227689385,-33
-750461.835293331,-158
-5735436.50483106,34
-1044460.4901529,32
719766.726075791,-34
2792279.81271954,-41
-717740.010830371,-10
198548.514808803,-4
1422354.90936736,83
6270729.70661654,164
6734177.86480632,-154
1893405.40076331,74
2109910.21073689,-3
-9040201.95708702,-25
-4282245.59383703,-6
-6072299.46316249,9
2004408.91516974,-175
-2921839.92963058,-3
-630193.831261973,4
1154132.26608957,83
4687354.02289088,69
911435.312168839,-67
-2636517.72227697,-34
-3406516.37034732,-5
-1199672.52364986,-46
2075047.03611637,195
14750870.6693763,-44
-25595.6345983849,21
1705657.46776494,58
-9254976.38588577,49
803445.80981386,115
2347797.36231662,29
14091177.7386287,224
6047441.92976116,-47
-1612894.72869306,-41
-18949839.7389338,18
-5844437.90934402,-31
-6248358.92257035,-196
-2441542.29112699,78
-953507.727666787,-82
783735.815369731,-9
3609271.90275512,-191
-9824910.33846761,201
8730631.09708506,-191
-1276136.09992388,-48
-2253943.09812621,-117
-12424923.7376461,-595
-24586721.511386,-104
17357838.7775205,-446
3450418.08870282,392
28846825.4416445,275
7615795.31508581,-145
3230001.50586255,-22
-2747742.91479262,-24
-13986160.6392939,116
4033389.91339831,68
3256755.94087188,76
12529200.6512114,72
-3280552.83298609,71
603634.244531528,47
-14984358.6112712,-23
-2454219.95770427,-251
-10648633.2850481,146
4542727.82146221,2
5856601.52746669,-7
7695950.51840258,30
-2748320.33452626,-305
-18412188.5453303,-115
-4424709.10977765,108
4590574.34476822,-22
13067889.5215924,15
5007114.90587744,-204
-8390632.53675394,-407
-19708499.8360893,-20
-13532398.9163175,49
11244266.3230811,-17
12117872.3438769,-43
17906710.8512576,-194
-19507109.2257993,-379
-15095407.524545,447
-9637849.02174323,331
30771602.909569,4
28679824.0210668,135
9818724.33596885,-85
-16508645.0809839,-83
-11089977.0693013,219
-2809872.76868472,106
2513457.44323488,-146
2296008.97613309,80
-1304334.30407039,233
6630647.13959735,-88
1218898.48284878,103
2959105.09316948,-165
-14553442.4373078,71
5787047.63349254,182
-1494974.38756542,-90
4758002.67248928,-288
-8230723.68479231,51
-5256492.69671459,131
4073739.10967502,102
7386286.298594,112
7414418.13736828,-41
-6246393.16529853,-88
-6137019.20518851,-117
-12121089.6225566,92
1922084.20428425,89
3809348.12136944,-96
8405425.35685699,-140
-4360579.13060395,60
-147309.249073354,51
-310619.423621375,43
7630147.66954465,-154
-4188584.99408486,-59
-4652163.2953167,-111
-4410178.65491112,241
22256607.3251632,-149
1691848.08266128,223
5734880.31236455,129
-5587674.62526988,49
6671804.57819762,-36
-1136559.67562302,39
-9505814.89617379,39
-2293409.24679025,-135
-7882534.17934332,7
-1938792.8726302,-52
-5045244.18610956,-92
5255143.79291984,228
5692354.41272296,-154
-2118382.4648822,21
-6357657.08594104,-196
-3925473.06987904,35
4897662.08281138,-104
1409520.51783468,-286
-15618322.9182525,61
-216542.745015811,47
5184200.32786282,-174
10344322.2345423,261
11913617.5483593,-52
-3911112.60320539,-180
-5178081.07893142,50
-11998482.6736694,-333
-11796927.2086127,281
9942672.06968062,38
782180.24747048,42
16420457.1605585,-197
-3077531.51489676,49
-4312340.27464122,-195
-3421381.09912333,160
2024162.38845635,-222
-3266729.18506975,194
-761428.519108313,152
9144648.717367,-69
3573242.77779981,63
2999596.29781151,-95
-12234321.5359298,59
3723856.99608693,-63
2445014.41069188,126
2645568.60811427,192
5575810.98708919,24
-4298903.99481619,117
7651286.55993198,-239
-12849258.91316,-219
-10157002.0085485,-385
-33183313.2583775,223
18127814.0602579,-18
14294805.9938439,129
33964080.8470764,174
-11433663.1794841,23
-1556197.26722885,-30
-8612455.69107447,204
10603548.4295344,-129
-2498603.32708039,-45
-1427145.05708814,129
-7558982.73023004,210
5060560.54317645,6
4316715.71272118,-167
-5767119.75137934,23
-3488150.34429375,-74
-7260408.44789888,-180
-3513283.25068873,-253
-5178090.62644283,159
-1847020.66208773,139
10610140.9985925,31
10424464.4524459,-43
6196429.02887253,-77
-11553515.7468204,103
-3710208.66480719,20
1996784.41887237,13
14834759.1070769,-19
-1289503.33566005,32
-4794509.5709267,5
-4199221.15600702,102
2744505.88014791,-18
1780305.47525742,45
-4528816.5197304,35
1276961.60916994,-81
1100264.36967888,49
7971795.87151489,-62
-8495059.72980054,-23
-545797.018339956,75
-4053240.17656334,-207
-5312841.54310466,133
2537573.69168772,-159
-8792743.43177156,59
12041329.094612,-89
-6549989.19020111,-45
2696974.82745405,-45
-6514183.45666943,121
5629163.87714059,-215
-2420919.29503029,6
291551.357628205,-18
-4768175.79425446,210
10047729.9948505,33
4393169.12137931,-43
2717795.20541735,-124
-5699476.03229349,169
474728.242103666,19
4795354.75186031,-75
1752914.59834316,220
8074644.30580877,-100
-6670142.60729857,42
904754.511092686,-86
-10416131.0061547,-16
3698936.60455716,15
-3163143.64308435,-85
-531095.276226265,86
830498.35192411,-61
1065809.90983688,116
5285178.29240562,48
1331644.20059846,107
3338392.11439581,-45
-3017422.22571654,33
-3628885.35126659,88
574190.364939022,-18
-2872609.94975352,-69
423167.999343236,43
-3688485.5328157,52
4777805.70453791,-85
-44324.6087489583,90
1112882.17394692,42
4708565.90628729,195
11818183.6559026,-26
5204978.20540181,-155
-14785836.360216,-41
-11506731.8127292,91
252187.042247639,14
9928926.03555588,-115
-6429792.23479895,65
-4813713.70760858,34
-1806442.58263851,-190
-1514169.13585409,-111
