,time,open,high,low,close
0,1535894100,804080,804500,804000,804000
1,1535894280,804079,804079,802591,802778
2,1535894460,802914,803828,802570,802581
3,1535894640,802798,803355,801740,801827
4,1535894820,801824,801976,800500,800717
5,1535895000,800809,801686,800525,801685
6,1535895180,801867,803012,801616,802579
7,1535895360,802574,803163,802420,802729
8,1535895540,802765,802872,802500,802872
9,1535895720,802500,803081,802500,803000
10,1535895900,803001,803383,803000,803000
11,1535896080,802878,803083,801390,801390
12,1535896260,801390,801410,799040,800170
13,1535896440,800577,800932,799514,800221
14,1535896620,799992,800134,798001,798262
15,1535896800,798064,799512,797850,798755
16,1535896980,798856,800000,798400,800000
17,1535897160,800000,800500,799627,800030
18,1535897340,800075,800075,799499,799499
19,1535897520,799527,800821,799527,800800
20,1535897700,800596,801016,800305,800500
21,1535897880,801007,802610,801000,801900
22,1535898060,802049,803095,801217,802456
23,1535898240,802456,802712,801872,801992
24,1535898420,801990,802245,801400,801450
25,1535898600,801451,802000,801050,801320
26,1535898780,801453,802000,801050,802000
27,1535898960,802000,802499,801898,802494
28,1535899140,802244,802265,801690,801690
29,1535899320,801690,801690,800699,800708
30,1535899500,800715,802126,800641,801629
31,1535899680,801628,801629,800281,800610
32,1535899860,800493,801628,800477,801299
33,1535900040,801502,803001,801502,802916
34,1535900220,803000,803391,802441,803001
35,1535900400,802972,804123,802883,803745
36,1535900580,803802,804498,803747,804199
37,1535900760,804199,805000,804199,804790
38,1535900940,804502,805000,803500,804194
39,1535901120,804138,804183,803459,804047
40,1535901300,803613,804182,803599,803663
41,1535901480,803708,805000,803708,805000
42,1535901660,805000,805342,803614,803776
43,1535901840,803847,804480,803817,803889
44,1535902020,803888,803888,803183,803410
45,1535902200,803590,803863,802807,802900
46,1535902380,802900,803768,802900,803670
47,1535902560,803740,803769,803531,803755
48,1535902740,803755,803755,803087,803297
49,1535902920,803413,803471,801700,801827
50,1535903100,801762,802159,801000,801420
51,1535903280,801443,802373,801443,802327
52,1535903460,802380,802819,801635,801635
53,1535903640,801618,801723,800999,801539
54,1535903820,801474,801539,800693,801539
55,1535904000,801539,801539,800922,801295
56,1535904180,801298,801491,801041,801394
57,1535904360,801128,801128,800101,800336
58,1535904540,800114,801325,800101,800604
59,1535904720,801035,801035,799500,799592
60,1535904900,799500,800513,799500,799872
61,1535905080,799873,802000,799873,802000
62,1535905260,802000,802253,801613,802002
63,1535905440,802002,803400,802002,803036
64,1535905620,803000,803602,802936,803602
65,1535905800,803856,804700,803487,804430
66,1535905980,804277,807290,803975,806464
67,1535906160,806415,807288,805001,805804
68,1535906340,805805,807000,805805,806817
69,1535906520,806747,807268,806298,806800
70,1535906700,806800,807999,806788,807546
71,1535906880,807547,807547,805580,806124
72,1535907060,806129,807444,805995,807000
73,1535907240,807000,807298,806658,807016
74,1535907420,806951,807999,806951,807997
75,1535907600,807997,808300,807623,807623
76,1535907780,807622,808120,806285,807054
77,1535907960,807054,807799,806956,807075
78,1535908140,807330,807490,807181,807346
79,1535908320,807352,809365,807186,808358
80,1535908500,808375,809364,808375,808750
81,1535908680,808750,808826,808156,808701
82,1535908860,808700,809283,807999,808336
83,1535909040,808245,808448,807657,808041
84,1535909220,808122,808122,807352,807352
85,1535909400,807318,808076,806926,807000
86,1535909580,806983,808077,806318,808074
87,1535909760,807935,809630,807514,809280
88,1535909940,809280,811416,809092,811130
89,1535910120,810999,811670,810409,810950
90,1535910300,810844,811000,809427,809984
91,1535910480,809989,810000,808460,808499
92,1535910660,808635,809212,808205,808986
93,1535910840,808959,808959,808433,808788
94,1535911020,808781,808986,807458,808455
95,1535911200,808541,810000,808541,809758
96,1535911380,809662,809999,809407,809443
97,1535911560,809621,810000,809621,810000
98,1535911740,810659,810663,808506,808506
99,1535911920,808315,810032,808299,808988
100,1535912100,809236,810032,808770,809091
101,1535912280,809071,809280,807309,807805
102,1535912460,807963,808691,806800,808217
103,1535912640,808198,809340,807500,807500
104,1535912820,807500,809340,806690,808245
105,1535913000,808262,808262,807703,808262
106,1535913180,808342,808342,808079,808216
107,1535913360,808216,808775,808079,808510
108,1535913540,808510,808510,808079,808309
109,1535913720,808305,808718,808095,808598
110,1535913900,808598,809315,808598,808913
111,1535914080,808802,809568,808548,809568
112,1535914260,809447,809941,809266,809941
113,1535914440,810000,810960,809933,810900
114,1535914620,810801,812000,810801,811988
115,1535914800,811973,811973,810360,810826
116,1535915700,811022,811999,810257,811999
117,1535915880,811940,812777,811263,812304
118,1535916060,812122,813000,812122,812763
119,1535916240,812762,812768,811069,811288
120,1535916420,811381,811381,810180,810962
121,1535916600,810936,810965,810440,810440
122,1535916780,810588,810991,808685,808685
123,1535916960,808685,810000,808426,808660
124,1535917140,808567,809551,808180,808180
125,1535917320,808380,809473,808380,808674
126,1535917500,808634,809841,808634,809472
127,1535917680,809816,809851,809057,809122
128,1535917860,809146,809146,808079,808108
129,1535918040,808418,809851,808418,809850
130,1535918220,809850,809850,809133,809133
131,1535918400,809126,811680,809126,810590
132,1535918580,810590,810590,808771,809190
133,1535918760,809271,810101,808501,809496
134,1535918940,809447,809447,808265,808265
135,1535919120,808267,808267,806935,807135
136,1535919300,807438,808454,807160,807640
137,1535919480,807641,808014,806501,808014
138,1535919660,807792,808453,807602,808003
139,1535919840,808223,808357,807263,807377
140,1535920020,807200,807510,806040,807479
141,1535920200,807457,807457,805751,807380
142,1535920380,806971,807000,805870,806477
143,1535920560,806237,806237,805493,805816
144,1535920740,805926,807538,805816,807307
145,1535920920,807319,808356,807319,807937
146,1535921100,807426,807692,806365,806480
147,1535921280,806481,808159,806364,807408
148,1535921460,807725,809330,807725,809155
149,1535921640,808903,809915,808500,808908
150,1535921820,809077,809332,808519,808520
151,1535922000,808451,808451,807740,808123
152,1535922180,808045,808368,807831,808364
153,1535922360,808367,808878,808200,808397
154,1535922540,808200,808900,808200,808519
155,1535922720,808477,808500,808080,808080
156,1535922900,808000,808811,807790,808480
157,1535923080,808483,810000,808283,809603
158,1535923260,809488,810000,808434,808941
159,1535923440,808944,809643,808648,809643
160,1535923620,809622,810660,809280,810660
161,1535923800,810660,810690,809999,810237
162,1535923980,810287,810287,810000,810000
163,1535924160,810000,810000,809035,809044
164,1535924340,809033,809191,808880,809033
165,1535924520,808902,809430,808902,809199
166,1535924700,809143,809143,808507,808645
167,1535924880,808914,808915,806967,807349
168,1535925060,807349,808420,807034,807443
169,1535925240,807416,807972,807000,807964
170,1535925420,807961,808351,807341,807802
171,1535925600,808082,808082,807284,807460
172,1535925780,807867,807916,807000,807399
173,1535925960,807466,807498,805772,807234
174,1535926140,807234,807476,806580,806834
175,1535926320,806844,807594,806252,806938
176,1535926500,806811,806833,805837,806753
177,1535926680,806753,808099,806693,808099
178,1535926860,807900,808245,807557,807800
179,1535927040,807952,808950,807581,808340
180,1535927220,808086,808632,808035,808260
181,1535927400,808069,809310,808069,809310
182,1535927580,809089,809500,808301,808569
183,1535927760,808487,808618,808428,808459
184,1535927940,808428,809500,808000,808776
185,1535928120,808469,809500,808457,809500
186,1535928300,809493,809500,808200,809036
187,1535928480,809035,809895,809002,809205
188,1535928660,808803,809599,808500,809215
189,1535928840,809365,809446,808200,808662
190,1535929020,808653,808662,808159,808160
191,1535929200,808002,808353,807700,808176
192,1535929380,808174,808937,808170,808570
193,1535929560,808606,808861,808140,808804
194,1535929740,808612,808730,808100,808166
195,1535929920,808590,808611,806958,806958
196,1535930100,806959,807777,806500,807061
197,1535930280,807164,807300,806801,807147
198,1535930460,806936,807300,806800,807300
199,1535930640,807299,808398,807238,808000
200,1535930820,808000,808564,807944,808136
201,1535931000,808495,808500,807649,808500
202,1535931180,808499,808524,808001,808327
203,1535931360,808326,808326,807711,808140
204,1535931540,807862,808098,807301,807418
205,1535931720,807493,807927,807492,807607
206,1535931900,807805,807838,807497,807838
207,1535932080,807857,810142,807516,809999
208,1535932260,809773,811358,809422,810211
209,1535932440,810040,810895,809496,809496
210,1535932620,809528,809781,808825,809117
211,1535932800,808814,809923,808610,809923
212,1535932980,809747,810831,809700,809899
213,1535933160,810093,810896,809465,810622
214,1535933340,810702,811399,810601,811150
215,1535933520,811150,812116,811127,811889
216,1535933700,812094,812117,810527,810527
217,1535933880,810601,811307,809562,810000
218,1535934060,810007,810210,808695,809192
219,1535934240,809250,810213,809003,809500
220,1535934420,809685,810338,809006,809719
221,1535934600,809999,810000,809171,809660
222,1535934780,809688,809986,809176,809541
223,1535934960,809540,809541,808000,808441
224,1535935140,808474,809179,808474,809179
225,1535935320,809001,809400,808229,808857
226,1535935500,808523,808866,808013,808013
227,1535935680,808013,808447,807880,807880
228,1535935860,807855,808233,807383,807836
229,1535936040,807960,808199,806978,807149
230,1535936220,807149,808039,806979,807809
231,1535936400,807751,807992,807508,807846
232,1535936580,807846,808021,807378,807814
233,1535936760,807669,807952,807150,807178
234,1535936940,807178,807516,806800,806800
235,1535937120,806969,807080,805200,805200
236,1535937300,805291,806799,805291,805552
237,1535937480,805555,805555,804510,804764
238,1535937660,804891,805175,804509,805100
239,1535937840,805001,805175,804500,804887
240,1535938020,804887,805380,804848,805260
241,1535938200,805259,805300,803840,803840
242,1535938380,804189,805096,803803,805000
243,1535938560,805000,806073,805000,805989
244,1535938740,806022,806022,805274,805365
245,1535938920,805311,806080,805304,806080
246,1535939100,806080,807350,805791,806154
247,1535939280,806158,806413,805911,806300
248,1535939460,806341,806694,806228,806527
249,1535939640,806541,807068,806500,806500
250,1535939820,806501,806538,805791,805792
251,1535940000,805792,806218,805663,806204
252,1535940180,806201,806968,805907,806839
253,1535940360,806892,806999,806622,806758
254,1535940540,806649,807000,805921,805921
255,1535940720,805980,806000,805500,806000
256,1535940900,805400,805800,804980,804980
257,1535941080,805000,805070,804000,804500
258,1535941260,804223,805069,804156,805069
259,1535941440,804851,805300,804690,805170
260,1535941620,805149,805408,803600,803858
261,1535941800,803914,804720,803858,804156
262,1535941980,804384,804385,803467,803998
263,1535942160,803791,804964,803791,804399
264,1535942340,804400,805007,804299,805007
265,1535942520,805085,805619,804508,804590
266,1535942700,804589,805583,804508,805000
267,1535942880,805002,805789,805000,805325
268,1535943060,805296,806245,805178,806245
269,1535943240,806245,806469,805739,806469
270,1535943420,806469,806500,805606,806475
271,1535943600,806498,806500,805898,806500
272,1535943780,806499,806519,806239,806239
273,1535943960,805983,806190,805469,805887
274,1535944140,805787,806592,805787,806592
275,1535944320,806997,807000,806315,806599
276,1535944500,806597,807457,806315,807455
277,1535944680,807431,807646,806506,806634
278,1535944860,806507,806739,806503,806734
279,1535945040,806733,806979,806000,806831
280,1535945220,806704,806704,805602,805969
281,1535945400,805603,805956,805603,805771
282,1535945580,805740,805767,804698,804909
283,1535945760,804822,805298,803872,805294
284,1535945940,805157,805635,805156,805635
285,1535946120,805632,805635,804998,805103
286,1535946300,805128,805436,804994,805297
287,1535946480,804906,804994,804441,804480
288,1535946660,804441,804997,803880,804157
289,1535946840,804076,804313,803700,804000
290,1535947020,804001,804838,803501,804233
291,1535947200,804110,804759,803798,804759
292,1535947380,804516,804701,803501,803695
293,1535947560,803500,803957,803090,803957
294,1535947740,803711,803737,802474,802499
295,1535947920,802487,802487,798888,799840
296,1535948100,799840,800038,798532,799403
297,1535948280,799635,799688,797206,798034
298,1535948460,797927,800000,797520,798222
299,1535948640,798419,799805,797740,798896
300,1535948820,798883,799048,798301,798800
301,1535949000,798630,800000,798629,799749
302,1535949180,799655,801780,799440,801084
303,1535949360,801084,801763,800940,801000
304,1535949540,801000,801000,799904,800220
305,1535949720,800499,800967,800142,800195
306,1535949900,800195,800195,798410,798673
307,1535950080,798703,799798,798703,798968
308,1535950260,798969,799257,798090,798133
309,1535950440,798133,798751,797220,797220
310,1535950620,797480,798968,797220,798531
311,1535950800,798532,799499,798200,799311
312,1535950980,799347,799918,799000,799109
313,1535951160,799001,799110,798508,798996
314,1535951340,798998,799406,798508,798600
315,1535951520,798600,799186,798550,799186
316,1535951700,799130,799841,799053,799463
317,1535951880,799463,799918,799463,799888
318,1535952060,799886,800754,799878,800334
319,1535952240,800063,801000,798670,801000
320,1535952420,800813,801237,800074,800320
321,1535952600,800382,800639,799738,800103
