,time,open,high,low,close
0,1536414060,713437,713437,713437,713437
1,1536414120,713363,713720,713363,713366
2,1536414180,713437,713437,713073,713437
3,1536414240,713448,713913,713381,713381
4,1536414300,713563,713563,713327,713498
5,1536414360,713466,713466,713036,713425
6,1536414420,713382,713421,713251,713251
7,1536414480,713244,713244,713244,713244
8,1536414540,713244,713251,713046,713046
9,1536414600,713251,713333,713251,713333
10,1536414660,713316,713495,713316,713495
11,1536414720,713496,713496,713496,713496
12,1536414780,713294,713294,712845,712916
13,1536414840,713010,713349,712897,713266
14,1536414900,713011,713732,713011,713502
15,1536414960,713534,713534,713534,713534
16,1536415020,713512,713781,713503,713503
17,1536415080,713600,713615,713434,713615
18,1536415140,713372,713719,713372,713469
19,1536415200,713589,713705,713589,713625
20,1536415260,713372,713576,712955,713287
21,1536415320,713315,713315,713000,713295
22,1536415380,713000,713000,712244,712244
23,1536415440,712244,712390,711000,711951
24,1536415500,711793,712571,711650,712132
25,1536415560,712141,712908,712141,712701
26,1536415620,712596,712596,712245,712314
27,1536415680,712349,712668,712209,712668
28,1536415740,712578,712578,711789,712164
29,1536415800,711985,712320,711985,712320
30,1536415860,711985,712049,711627,711675
31,1536415920,711721,711855,711627,711627
32,1536415980,711800,711800,711628,711699
33,1536416040,711698,712280,711698,712100
34,1536416100,712115,712429,712114,712247
35,1536416160,712100,712100,712000,712099
36,1536416220,712252,712637,712002,712050
37,1536416280,712247,712247,712247,712247
38,1536416340,712447,712447,712447,712447
39,1536416400,712447,712447,712409,712409
40,1536416460,712150,712421,712150,712421
41,1536416520,712445,712447,712444,712444
42,1536416580,712150,712252,711828,712252
43,1536416640,712223,712260,712223,712260
44,1536416700,712445,712447,712253,712447
45,1536416760,712446,712446,712422,712422
46,1536416820,712446,712447,712446,712447
47,1536416880,712446,712447,712446,712447
48,1536416940,712422,712422,712224,712245
49,1536417000,712272,712989,712271,712592
50,1536417060,712901,712901,712644,712644
51,1536417120,712734,712909,712734,712756
52,1536417180,712988,712988,712737,712915
53,1536417240,712620,712989,712620,712915
54,1536417300,712915,712915,712476,712476
55,1536417360,712478,712481,712225,712481
56,1536417420,712482,712486,712482,712486
57,1536417480,712225,712225,712087,712087
58,1536417540,712160,712184,712087,712087
59,1536417600,712000,712000,711314,711314
60,1536417660,711313,711784,710136,711550
61,1536417720,711715,712539,711713,712341
62,1536417780,712135,712858,711902,712858
63,1536417840,712871,712872,712339,712620
64,1536417900,712578,712829,712578,712829
65,1536417960,712830,712830,711715,711715
66,1536418020,712208,712208,711713,712023
67,1536418080,712000,712460,712000,712460
68,1536418140,712433,712434,712433,712434
69,1536418200,712434,712989,712247,712672
70,1536418260,712722,712989,712316,712451
71,1536418320,712437,712437,712001,712001
72,1536418380,712073,712103,712051,712051
73,1536418440,712001,712011,711876,712011
74,1536418500,711978,711978,711154,711462
75,1536418560,711461,711895,711461,711738
76,1536418620,711288,711965,711288,711965
77,1536418680,712062,712199,711704,711974
78,1536418740,712000,712412,712000,712294
79,1536418800,712300,712300,712299,712300
80,1536418860,712300,712300,711245,711544
81,1536418920,711560,711741,711399,711506
