,time,open,high,low,close
0,1535635500,762012,762145,760111,760754
1,1535635800,760754,761124,760010,760607
2,1535636100,760765,761495,760020,761495
3,1535636400,761495,763001,761418,762997
4,1535636700,762948,763315,762138,763314
5,1535637000,763298,764276,763019,764244
6,1535637300,764227,764227,761902,762045
7,1535637600,762012,762200,760864,761860
8,1535637900,761733,762161,760440,760873
9,1535638200,760873,762376,760500,762086
10,1535638500,762132,763040,761700,763040
11,1535638800,762985,762985,761868,762310
12,1535639100,762310,764120,762310,764002
13,1535639400,763909,765539,763600,764643
14,1535639700,764629,766210,764102,764102
15,1535640000,764008,766350,764008,766300
16,1535640300,766300,766300,765198,765351
17,1535640600,765552,765552,764046,764403
18,1535640900,764404,764404,763100,763466
19,1535641200,763500,764448,763257,764448
20,1535641500,764151,764444,763202,763780
21,1535641800,763959,764025,762268,762460
22,1535642100,762405,763474,762305,763472
23,1535642400,763440,765243,763374,765120
24,1535642700,765041,765600,764044,765222
25,1535643000,765233,765235,764269,765000
26,1535643300,764950,765783,764655,765700
27,1535643600,765611,766300,764800,764800
28,1535643900,765129,765129,764086,764770
29,1535644200,764601,765710,764600,765354
30,1535644500,765350,765350,764289,764481
31,1535644800,764342,764342,760900,763200
32,1535645100,763054,764102,763054,763839
33,1535645400,763796,763839,763040,763495
34,1535645700,763263,763516,761290,761739
35,1535646000,761744,762087,761379,761780
36,1535646300,761843,762360,761036,761095
37,1535646600,761469,762000,760233,762000
38,1535646900,762000,762001,760547,761375
39,1535647200,761614,761800,760673,761097
40,1535647500,761400,762951,761400,762665
41,1535647800,763000,763071,762220,762635
42,1535648100,762602,762611,761785,762611
43,1535648400,762483,762611,762023,762270
44,1535648700,762323,763838,762323,763320
45,1535649000,763320,764501,763234,764388
46,1535649300,764125,764500,763440,763756
47,1535649600,763476,763801,763343,763393
48,1535649900,763278,764232,763278,764232
49,1535650200,764000,764000,763363,763500
50,1535650500,763450,763450,762280,763397
51,1535650800,763397,764153,763342,763993
52,1535651100,763998,764149,763235,763548
53,1535651400,763548,763548,762100,762750
54,1535651700,762749,762750,761884,762043
55,1535652000,762239,762750,761890,762750
56,1535652300,762750,762750,761822,762020
57,1535652600,762018,762281,761362,762177
58,1535652900,762144,762290,760619,760700
59,1535653200,760700,762210,760607,761799
60,1535653500,762052,762434,761326,761328
61,1535653800,761326,761328,760537,761142
62,1535654100,761190,761690,760385,760685
63,1535654400,760790,760790,758000,758013
64,1535654700,758000,758641,755000,757698
65,1535655000,757443,758983,756812,757723
66,1535655300,757779,758628,756809,757247
67,1535655600,757105,757408,755500,757000
68,1535655900,756997,756997,756997,756997
69,1535656500,757501,758508,757369,757642
70,1535656800,757575,757577,755688,757406
71,1535657100,757302,758432,756533,758367
72,1535657400,758367,758388,757211,757808
73,1535657700,757808,757808,755980,755998
74,1535658000,756074,756934,755055,756277
75,1535658300,755942,757330,755634,756187
76,1535658600,756226,757451,756226,757132
77,1535658900,757109,757660,756763,756890
78,1535659200,756899,756901,755592,755991
79,1535659500,755847,756195,754477,755159
80,1535659800,755287,757243,755277,757039
81,1535660100,757167,759269,756500,759189
82,1535660400,759179,763590,758490,763120
83,1535660700,762770,765000,761907,764546
84,1535661000,764911,767630,764911,765914
85,1535661300,765433,767818,765295,767403
86,1535661600,767000,767746,765992,766413
87,1535661900,766540,770680,766020,769507
88,1535662200,769677,769677,767517,767960
89,1535662500,767487,768459,766568,768459
90,1535662800,768930,769000,767177,767684
91,1535663100,767684,768948,767495,768807
92,1535663400,768733,769185,768492,768600
93,1535663700,768571,769082,767923,768473
94,1535664000,768448,769046,767924,768600
95,1535664300,768600,770000,768350,770000
96,1535664600,769924,771554,769924,771554
97,1535664900,771205,774000,771205,773078
98,1535665200,772703,772927,771999,772500
99,1535665500,772600,773493,772401,773300
100,1535665800,773300,773400,772401,772898
101,1535666100,772926,772943,771079,771996
102,1535666400,771919,771920,770276,771501
103,1535666700,771500,772000,771107,772000
104,1535667000,772000,772199,771107,771107
105,1535667300,771270,771270,769070,769071
106,1535667600,769071,770521,769000,770305
107,1535667900,770305,770305,769743,770300
108,1535668200,770300,770944,770093,770804
109,1535668500,771000,771613,770804,770909
110,1535668800,770905,771579,770619,771579
111,1535669100,771563,771563,770849,771418
112,1535669400,771288,771398,770000,770112
113,1535669700,770112,770583,769667,770229
114,1535670000,770398,771100,770000,771100
115,1535670300,771100,771364,769703,770298
116,1535670600,770365,771550,770200,771361
117,1535670900,771526,771549,770676,771000
118,1535671200,770800,770964,769997,770800
119,1535671500,770799,771308,770415,771308
120,1535671800,771308,772231,771002,772231
121,1535672100,772231,772680,771559,772626
122,1535672400,772625,774649,771794,774343
123,1535672700,774343,776900,773998,776498
124,1535673000,776498,776744,775000,776527
125,1535673300,776449,777965,776021,777777
126,1535673600,777942,778000,776064,776904
127,1535673900,776972,777000,774676,775999
128,1535674200,775999,776588,775130,776588
129,1535674500,776585,777000,775842,776000
130,1535674800,776000,776499,775000,775364
131,1535675100,775274,775274,773933,774500
132,1535675400,774500,774900,774405,774800
133,1535675700,774800,774800,774100,774299
134,1535676000,774256,774400,772778,773079
135,1535676300,773000,774052,772649,773608
136,1535676600,773616,773986,773101,773400
137,1535676900,773400,773400,771962,772546
138,1535677200,772546,772546,770000,771394
139,1535677500,771394,771980,771000,771911
140,1535677800,771932,772927,771846,772601
141,1535678100,772601,773300,771820,773300
142,1535678400,773300,773930,772721,773500
143,1535678700,773500,774101,773319,773339
144,1535679000,773339,773800,773088,773799
145,1535679300,773619,774000,773573,773800
146,1535679600,773800,773800,773239,773500
147,1535679900,773501,773611,773000,773000
148,1535680200,773299,773299,771672,771801
149,1535680500,772121,772295,770501,771062
150,1535680800,771062,771403,769045,769338
151,1535681100,769338,771210,769119,770801
152,1535681400,770874,771190,770039,770270
153,1535681700,770270,770849,769248,769385
154,1535682000,769385,770635,769295,770635
155,1535682300,770635,770800,769461,769971
156,1535682600,769971,770440,769298,769806
157,1535682900,769806,772497,769692,772428
158,1535683200,772429,773420,772429,772991
159,1535683500,772848,773598,772619,773598
160,1535683800,773494,773494,772442,772442
161,1535684100,772440,772442,771169,771500
162,1535684400,771211,771211,769736,770692
163,1535684700,769852,769852,769852,769852
164,1535685000,770370,772990,770370,772850
165,1535685300,772838,772850,772000,772138
166,1535685600,772320,772899,771600,771964
167,1535685900,771964,772389,771659,772001
168,1535686200,772001,772500,771733,772174
169,1535686500,772174,772600,771560,772000
170,1535686800,772000,772658,771800,772180
171,1535687100,772303,773093,771858,772884
172,1535687400,773000,773286,772510,773100
173,1535687700,773098,774500,772802,774178
174,1535688000,774178,774700,773577,774198
175,1535688300,773901,774501,773901,774207
176,1535688600,774460,774500,774109,774500
177,1535688900,774303,775000,772503,772957
178,1535689200,772957,774048,772003,773503
179,1535689500,773503,774189,773000,773000
180,1535689800,773179,773555,772038,772420
181,1535690100,772609,774252,772441,773478
182,1535690400,773478,774490,773022,774381
183,1535690700,774358,777700,774116,775648
184,1535691000,775967,776263,774610,775800
185,1535691300,775800,777000,775300,776442
186,1535691600,776443,779453,776136,777945
187,1535691900,777927,778806,777435,778719
188,1535692200,778249,778719,777000,777767
189,1535692500,777767,778549,777283,777500
190,1535692800,777496,778500,777001,777473
191,1535693100,777474,777813,775121,775302
192,1535693400,775302,776383,774400,775095
193,1535693700,775247,776420,774978,775819
194,1535694000,775592,776776,775592,776468
195,1535694300,776638,777997,776200,776469
196,1535694600,776687,777637,776687,777181
197,1535694900,777077,777321,776095,776932
198,1535695200,776579,776959,776240,776302
199,1535695500,776324,776394,775190,775591
200,1535695800,775462,776000,774532,774532
201,1535696100,774532,775259,774000,774440
202,1535696400,774700,774700,773227,774540
203,1535696700,774560,774700,773588,774261
204,1535697000,774255,775553,774078,774991
205,1535697300,774933,776000,774933,775287
206,1535697600,775424,776283,774983,775191
207,1535697900,774991,775320,774140,774711
208,1535698200,775000,775657,774648,775538
209,1535698500,775544,775544,774746,775334
210,1535698800,775180,776679,775180,776361
211,1535699100,776361,776801,776097,776230
212,1535699400,776216,776237,774792,775001
213,1535699700,774833,775767,774833,775116
214,1535700000,775116,775145,773532,773532
215,1535700300,773534,774431,773217,774300
216,1535700600,774399,774399,773210,773210
217,1535700900,773215,773215,771220,772500
218,1535701200,772500,772897,770857,771070
219,1535701500,771070,772200,770985,771311
220,1535701800,771659,772596,771000,772412
221,1535702100,772412,773065,771851,771912
222,1535702400,771851,772217,770998,771527
223,1535702700,771879,773201,771879,773000
224,1535703000,773224,773224,771761,772362
225,1535703300,772525,773469,771887,772591
226,1535703600,772959,773378,772658,773069
227,1535703900,773144,773696,772744,773080
228,1535704200,773081,773438,772348,772722
229,1535704500,772409,773901,772409,773171
230,1535704800,773171,773286,772879,773222
231,1535705100,773181,773228,772000,772262
232,1535705400,772153,772589,771500,771914
233,1535705700,771798,772282,771061,771326
234,1535706000,771500,772066,770000,770142
235,1535706300,770201,770211,767480,767998
236,1535706600,767973,769840,767520,768023
237,1535706900,768025,768899,766342,767322
238,1535707200,767322,768459,767116,767861
239,1535707500,767879,769973,767702,769973
240,1535707800,769966,770466,769355,769824
241,1535708100,769639,771600,769355,770739
242,1535708400,770739,770739,768813,768814
243,1535708700,768813,770265,768582,770169
244,1535709000,769804,770519,769803,770519
245,1535709300,770759,770992,770264,770542
246,1535709600,770510,770510,769442,770217
247,1535709900,770217,770577,770003,770360
248,1535710200,770360,771425,769761,771354
